country,date,cases
"bahamas, the",26/01/20,0
"bahamas, the",27/01/20,0
"bahamas, the",28/01/20,0
"bahamas, the",29/01/20,0
"bahamas, the",30/01/20,0
"bahamas, the",31/01/20,0
"bahamas, the",01/02/20,0
"bahamas, the",02/02/20,0
"bahamas, the",03/02/20,0
"bahamas, the",04/02/20,0
"bahamas, the",05/02/20,0
"bahamas, the",06/02/20,0
"bahamas, the",07/02/20,0
"bahamas, the",08/02/20,0
"bahamas, the",09/02/20,0
"bahamas, the",10/02/20,0
"bahamas, the",11/02/20,0
"bahamas, the",12/02/20,0
"bahamas, the",13/02/20,0
"bahamas, the",14/02/20,0
"bahamas, the",15/02/20,0
"bahamas, the",16/02/20,0
"bahamas, the",17/02/20,0
"bahamas, the",18/02/20,0
"bahamas, the",19/02/20,0
"bahamas, the",20/02/20,0
"bahamas, the",21/02/20,0
"bahamas, the",22/02/20,0
"bahamas, the",23/02/20,0
"bahamas, the",24/02/20,0
"bahamas, the",25/02/20,0
"bahamas, the",26/02/20,0
"bahamas, the",27/02/20,0
"bahamas, the",28/02/20,0
"bahamas, the",29/02/20,0
"bahamas, the",01/03/20,0
"bahamas, the",02/03/20,0
"bahamas, the",03/03/20,0
"bahamas, the",04/03/20,0
"bahamas, the",05/03/20,0
"bahamas, the",06/03/20,0
"bahamas, the",07/03/20,0
"bahamas, the",08/03/20,0
bahrain,22/01/20,0
bahrain,23/01/20,0
bahrain,24/01/20,0
bahrain,25/01/20,0
bahrain,26/01/20,0
bahrain,27/01/20,0
bahrain,28/01/20,0
bahrain,29/01/20,0
bahrain,30/01/20,0
bahrain,31/01/20,0
bahrain,01/02/20,0
bahrain,02/02/20,0
bahrain,03/02/20,0
bahrain,04/02/20,0
bahrain,05/02/20,0
bahrain,06/02/20,0
bahrain,07/02/20,0
bahrain,08/02/20,0
bahrain,09/02/20,0
bahrain,10/02/20,0
bahrain,11/02/20,0
bahrain,12/02/20,0
bahrain,13/02/20,0
bahrain,14/02/20,0
bahrain,15/02/20,0
bahrain,16/02/20,0
bahrain,17/02/20,0
bahrain,18/02/20,0
bahrain,19/02/20,0
bahrain,20/02/20,0
bahrain,21/02/20,0
bahrain,22/02/20,0
bahrain,23/02/20,0
bahrain,24/02/20,1
bahrain,25/02/20,23
bahrain,26/02/20,33
bahrain,27/02/20,33
bahrain,28/02/20,36
bahrain,29/02/20,41
bahrain,01/03/20,47
bahrain,02/03/20,49
bahrain,03/03/20,49
bahrain,04/03/20,52
bahrain,05/03/20,55
bahrain,06/03/20,60
bahrain,07/03/20,85
bahrain,08/03/20,85
bahrain,09/03/20,95
bahrain,10/03/20,110
bahrain,11/03/20,195
bahrain,12/03/20,195
bahrain,13/03/20,195
bahrain,14/03/20,210
bahrain,15/03/20,214
bahrain,16/03/20,214
bahrain,17/03/20,228
bahrain,18/03/20,256
bahrain,19/03/20,278
bahrain,20/03/20,285
bahrain,21/03/20,305
bahrain,22/03/20,334
bahrain,23/03/20,377
bahrain,24/03/20,392
bahrain,25/03/20,419
bahrain,26/03/20,458
bahrain,27/03/20,466
bahrain,28/03/20,476
bahrain,29/03/20,499
bahrain,30/03/20,515
bahrain,31/03/20,567
bahrain,01/04/20,569
bahrain,02/04/20,643
bahrain,03/04/20,672
bahrain,04/04/20,688
bahrain,05/04/20,700
bahrain,06/04/20,756
bahrain,07/04/20,811
bangladesh,22/01/20,0
bangladesh,23/01/20,0
bangladesh,24/01/20,0
bangladesh,25/01/20,0
bangladesh,26/01/20,0
bangladesh,27/01/20,0
bangladesh,28/01/20,0
bangladesh,29/01/20,0
bangladesh,30/01/20,0
bangladesh,31/01/20,0
bangladesh,01/02/20,0
bangladesh,02/02/20,0
bangladesh,03/02/20,0
bangladesh,04/02/20,0
bangladesh,05/02/20,0
bangladesh,06/02/20,0
bangladesh,07/02/20,0
bangladesh,08/02/20,0
bangladesh,09/02/20,0
bangladesh,10/02/20,0
bangladesh,11/02/20,0
bangladesh,12/02/20,0
bangladesh,13/02/20,0
bangladesh,14/02/20,0
bangladesh,15/02/20,0
bangladesh,16/02/20,0
bangladesh,17/02/20,0
bangladesh,18/02/20,0
bangladesh,19/02/20,0
bangladesh,20/02/20,0
bangladesh,21/02/20,0
bangladesh,22/02/20,0
bangladesh,23/02/20,0
bangladesh,24/02/20,0
bangladesh,25/02/20,0
bangladesh,26/02/20,0
bangladesh,27/02/20,0
bangladesh,28/02/20,0
bangladesh,29/02/20,0
bangladesh,01/03/20,0
bangladesh,02/03/20,0
bangladesh,03/03/20,0
bangladesh,04/03/20,0
bangladesh,05/03/20,0
bangladesh,06/03/20,0
bangladesh,07/03/20,0
bangladesh,08/03/20,3
bangladesh,09/03/20,3
bangladesh,10/03/20,3
bangladesh,11/03/20,3
bangladesh,12/03/20,3
bangladesh,13/03/20,3
bangladesh,14/03/20,3
bangladesh,15/03/20,5
bangladesh,16/03/20,8
bangladesh,17/03/20,10
bangladesh,18/03/20,14
bangladesh,19/03/20,17
bangladesh,20/03/20,20
bangladesh,21/03/20,25
bangladesh,22/03/20,27
bangladesh,23/03/20,33
bangladesh,24/03/20,39
bangladesh,25/03/20,39
bangladesh,26/03/20,44
bangladesh,27/03/20,48
bangladesh,28/03/20,48
bangladesh,29/03/20,48
bangladesh,30/03/20,49
bangladesh,31/03/20,51
bangladesh,01/04/20,54
bangladesh,02/04/20,56
bangladesh,03/04/20,61
bangladesh,04/04/20,70
bangladesh,05/04/20,88
bangladesh,06/04/20,123
bangladesh,07/04/20,164
barbados,22/01/20,0
barbados,23/01/20,0
barbados,24/01/20,0
barbados,25/01/20,0
barbados,26/01/20,0
